id,mol_weight,logp,tpsa,event_timestamp
13796,194.19000000000003,0.5831999999999999,68.29,2025-04-13 17:26:46.310647
13835,339.3980000000001,4.010200000000002,47.78,2025-04-13 17:26:46.310647
13842,434.54400000000015,3.366200000000002,107.03000000000002,2025-04-13 17:26:46.310647
13843,447.5830000000003,4.150920000000003,83.14,2025-04-13 17:26:46.310647
13844,448.5020000000001,3.8725400000000016,99.94000000000001,2025-04-13 17:26:46.310647
13845,441.5350000000001,4.516720000000002,83.14,2025-04-13 17:26:46.310647
13846,442.5230000000001,3.9117200000000016,96.02999999999999,2025-04-13 17:26:46.310647
13847,439.56300000000016,4.745440000000003,73.91,2025-04-13 17:26:46.310647
13848,364.4050000000001,1.2619,77.2,2025-04-13 17:26:46.310647
13849,394.4310000000001,1.0271000000000001,86.43,2025-04-13 17:26:46.310647
13850,418.4500000000001,0.9495000000000005,94.27000000000001,2025-04-13 17:26:46.310647
13851,367.43100000000015,-0.7720999999999978,97.51,2025-04-13 17:26:46.310647
13852,422.4850000000002,1.5894999999999997,86.42999999999999,2025-04-13 17:26:46.310647
13853,379.4200000000001,0.5857999999999999,90.09,2025-04-13 17:26:46.310647
13854,356.4260000000001,1.1382999999999999,77.2,2025-04-13 17:26:46.310647
13855,417.46900000000016,1.6720999999999997,92.99000000000001,2025-04-13 17:26:46.310647
13856,387.44000000000017,-0.7196999999999976,89.66999999999999,2025-04-13 17:26:46.310647
13857,385.4490000000001,1.02682,90.09000000000002,2025-04-13 17:26:46.310647
13858,412.4210000000001,1.1662000000000003,86.43,2025-04-13 17:26:46.310647
13859,351.38500000000005,2.3046999999999995,85.0,2025-04-13 17:26:46.310647
13860,368.48500000000007,2.5813200000000007,74.25,2025-04-13 17:26:46.310647
13861,406.4650000000001,3.4907200000000014,83.04,2025-04-13 17:26:46.310647
13862,406.4610000000001,4.062620000000003,67.35000000000001,2025-04-13 17:26:46.310647
13863,405.49900000000025,2.797620000000001,78.43,2025-04-13 17:26:46.310647
13864,407.5150000000001,3.0436200000000015,78.43,2025-04-13 17:26:46.310647
13865,379.50800000000027,4.209920000000003,71.01,2025-04-13 17:26:46.310647
13866,434.51500000000016,4.625020000000004,67.35,2025-04-13 17:26:46.310647
13867,417.5130000000001,3.8809200000000024,80.24,2025-04-13 17:26:46.310647
13868,444.5140000000002,4.423620000000002,75.94,2025-04-13 17:26:46.310647
13869,427.4830000000001,4.845620000000004,71.01,2025-04-13 17:26:46.310647
13870,444.5070000000002,4.293440000000003,75.19,2025-04-13 17:26:46.310647
13871,424.45100000000014,4.201720000000003,67.35000000000001,2025-04-13 17:26:46.310647
13872,447.48900000000015,4.928220000000004,63.050000000000004,2025-04-13 17:26:46.310647
13873,434.5190000000003,4.2894200000000025,86.8,2025-04-13 17:26:46.310647
13874,422.46400000000017,2.54894,93.01,2025-04-13 17:26:46.310647
13875,434.5150000000003,5.077640000000004,71.26,2025-04-13 17:26:46.310647
13876,441.50700000000035,2.6226200000000004,87.66000000000001,2025-04-13 17:26:46.310647
13877,444.5360000000002,3.3707400000000023,93.01,2025-04-13 17:26:46.310647
13878,438.93400000000014,5.269820000000004,58.120000000000005,2025-04-13 17:26:46.310647
13879,438.4780000000002,4.591820000000003,67.35000000000001,2025-04-13 17:26:46.310647
13880,409.4650000000002,3.8311600000000023,84.15,2025-04-13 17:26:46.310647
13881,414.4910000000002,2.706660000000001,114.11,2025-04-13 17:26:46.310647
13882,422.5080000000001,3.6361200000000027,76.06,2025-04-13 17:26:46.310647
13883,436.50600000000014,5.100520000000004,58.120000000000005,2025-04-13 17:26:46.310647
13884,434.50000000000017,2.44982,115.49,2025-04-13 17:26:46.310647
13885,409.46500000000015,2.9416200000000012,72.28,2025-04-13 17:26:46.310647
13886,422.4640000000001,2.5803200000000004,106.26,2025-04-13 17:26:46.310647
13887,421.4760000000001,3.185320000000001,93.37,2025-04-13 17:26:46.310647
13888,444.53900000000027,2.7819200000000013,97.47,2025-04-13 17:26:46.310647
13889,443.5510000000003,3.3869200000000017,84.58,2025-04-13 17:26:46.310647
13890,423.5610000000003,3.198620000000002,84.58,2025-04-13 17:26:46.310647
13891,422.4640000000001,2.5803200000000004,106.26,2025-04-13 17:26:46.310647
13892,434.49600000000015,3.2651200000000014,99.8,2025-04-13 17:26:46.310647
13893,314.38900000000007,2.1004199999999997,60.25000000000001,2025-04-13 17:26:46.310647
13894,375.43200000000013,2.64292,94.23,2025-04-13 17:26:46.310647
13895,389.48100000000034,1.5609199999999999,88.52000000000001,2025-04-13 17:26:46.310647
13896,363.4430000000002,1.0267199999999999,88.52000000000001,2025-04-13 17:26:46.310647
13897,426.5460000000002,2.875860000000001,85.17,2025-04-13 17:26:46.310647
13898,448.49800000000016,3.093320000000002,84.42,2025-04-13 17:26:46.310647
13899,382.4490000000002,2.2206399999999995,93.99000000000001,2025-04-13 17:26:46.310647
13900,438.51300000000015,2.1852400000000003,110.2,2025-04-13 17:26:46.310647
13901,437.52500000000015,2.7902400000000016,97.31,2025-04-13 17:26:46.310647
13902,448.5270000000002,2.3067400000000005,102.24000000000001,2025-04-13 17:26:46.310647
13903,411.46200000000016,0.84762,113.52000000000001,2025-04-13 17:26:46.310647
13904,442.5230000000002,3.292440000000002,99.16,2025-04-13 17:26:46.310647
13905,410.50300000000016,2.33674,107.12,2025-04-13 17:26:46.310647
13906,406.4460000000002,1.3416199999999996,116.23,2025-04-13 17:26:46.310647
13907,446.51100000000025,2.0440199999999997,87.18,2025-04-13 17:26:46.310647
13908,420.47300000000024,1.6206599999999998,103.10000000000001,2025-04-13 17:26:46.310647
13909,422.48900000000026,1.5641599999999996,95.14000000000001,2025-04-13 17:26:46.310647
13910,434.5000000000002,2.01076,103.10000000000001,2025-04-13 17:26:46.310647
13911,436.51600000000025,1.9542599999999997,95.14000000000001,2025-04-13 17:26:46.310647
13912,446.5110000000002,2.4321600000000005,110.2,2025-04-13 17:26:46.310647
13913,446.55500000000035,3.168820000000001,110.02,2025-04-13 17:26:46.310647
13914,447.58300000000025,3.6010200000000028,63.49000000000001,2025-04-13 17:26:46.310647
13915,425.4890000000004,1.3859199999999998,97.75000000000001,2025-04-13 17:26:46.310647
13916,440.52500000000015,2.9262400000000017,94.51,2025-04-13 17:26:46.310647
13917,410.4490000000002,2.908520000000001,69.48,2025-04-13 17:26:46.310647
13918,422.46000000000015,3.1522200000000016,90.57000000000001,2025-04-13 17:26:46.310647
13919,423.5610000000004,3.403120000000002,71.45,2025-04-13 17:26:46.310647
13920,438.5760000000004,2.9853200000000015,97.47,2025-04-13 17:26:46.310647
13921,434.54000000000013,3.8564400000000028,69.47999999999999,2025-04-13 17:26:46.310647
13922,447.53900000000016,3.495140000000001,103.46,2025-04-13 17:26:46.310647
13923,420.5130000000002,3.4679400000000022,69.48,2025-04-13 17:26:46.310647
13924,422.9160000000001,4.033120000000003,68.21000000000001,2025-04-13 17:26:46.310647
13925,424.9320000000002,3.976620000000003,60.25,2025-04-13 17:26:46.310647
13926,437.9310000000002,3.6153200000000023,94.23,2025-04-13 17:26:46.310647
13927,436.94300000000015,4.220320000000003,81.34,2025-04-13 17:26:46.310647
13928,437.4750000000002,2.9373200000000015,103.46000000000001,2025-04-13 17:26:46.310647
13929,437.5880000000003,3.6938200000000023,80.24000000000001,2025-04-13 17:26:46.310647
13930,419.4850000000001,2.9599400000000013,103.46,2025-04-13 17:26:46.310647
13931,442.5230000000002,3.3507200000000017,85.17,2025-04-13 17:26:46.310647
13932,439.6040000000004,3.733520000000003,63.49000000000001,2025-04-13 17:26:46.310647
13933,442.54500000000013,2.524140000000001,103.10000000000001,2025-04-13 17:26:46.310647
13934,422.5040000000002,3.8073200000000025,60.25,2025-04-13 17:26:46.310647
13935,449.51100000000014,2.8841400000000013,110.45,2025-04-13 17:26:46.310647
13936,422.4890000000002,2.886120000000001,107.13000000000001,2025-04-13 17:26:46.310647
13937,447.53900000000016,3.315520000000002,103.46,2025-04-13 17:26:46.310647
13938,444.5390000000003,3.0253200000000016,97.47,2025-04-13 17:26:46.310647
13939,443.55100000000033,3.630320000000002,84.58,2025-04-13 17:26:46.310647
